window_id,conversation_id,user_id,sample_group,target_is_liked,target_is_disliked,target_message_idx,conversation_message_count,conversation_total_likes,conversation_total_dislikes,CS,FD,CP,CN,TD,TC,DF,CQI,judge_model
b82188552d44,a2da4ea1e1f9,e0e6f9a00d9b,liked,True,False,65,80,2,0,3,2,4,2,3,3,5,2.8,claude-opus-4-6
21db7d304b8a,0aafc85973f7,7e996360e0ac,liked,True,False,190,236,2,0,3,3,4,3,3,3,4,3.2,claude-opus-4-6
8e116fd104e9,c092ab155cc5,928df6a72ff6,neutral,False,False,79,491,1,0,3,3,3,3,3,3,5,3.0,claude-opus-4-6
776eb8e1a3a3,c092ab155cc5,928df6a72ff6,neutral,False,False,430,491,1,0,2,2,4,2,2,3,4,2.5,claude-opus-4-6
00a5e3bd79c4,80e6662382b5,579c82dac0c9,disliked,False,True,604,868,2,1,1,1,3,2,1,1,1,1.17,claude-opus-4-6
488ea97ba0cc,00238630b934,d9c76a2805df,liked,True,False,4680,5660,203,3,2,2,3,2,2,2,3,2.17,claude-opus-4-6
936a15391f7a,00238630b934,d9c76a2805df,liked,True,False,5037,5660,203,3,2,2,3,2,2,2,3,2.17,claude-opus-4-6
eb4dbd793756,00238630b934,d9c76a2805df,liked,True,False,5354,5660,203,3,2,2,3,2,2,2,2,2.17,claude-opus-4-6
7444918aaff4,00238630b934,d9c76a2805df,liked,True,False,5372,5660,203,3,1,2,3,2,1,1,2,1.67,claude-opus-4-6
d2d35c0a7b09,00238630b934,d9c76a2805df,liked,True,False,5546,5660,203,3,1,2,2,2,1,2,3,1.67,claude-opus-4-6
7f000e65b8e0,00238630b934,d9c76a2805df,liked,True,False,5588,5660,203,3,2,2,3,2,2,2,3,2.17,claude-opus-4-6
f8f255e3749c,00238630b934,d9c76a2805df,liked,True,False,5614,5660,203,3,2,2,3,2,2,2,3,2.17,claude-opus-4-6
b210b1df505a,00238630b934,d9c76a2805df,liked,True,False,5618,5660,203,3,4,3,4,3,4,4,5,3.67,claude-opus-4-6
3debdc5fa497,e53a57354dc8,9b7d9fac19ba,neutral,False,False,108,217,13,0,4,4,5,3,4,3,5,3.83,claude-opus-4-6
d40dd1118783,e53a57354dc8,9b7d9fac19ba,neutral,False,False,139,217,13,0,3,3,4,3,3,3,4,3.17,claude-opus-4-6
c5c3bba17f4c,2f6e51c7e481,20b52a3b79d9,neutral,False,False,11,164,0,0,2,2,2,2,2,3,5,2.17,claude-opus-4-6
3ffb7c065e64,2f6e51c7e481,20b52a3b79d9,neutral,False,False,108,164,0,0,3,2,3,3,3,3,4,2.83,claude-opus-4-6
702da3d7ead6,ef718fc4c102,bf440ec57fde,disliked,False,True,107,115,0,2,2,2,3,3,2,2,4,2.33,claude-opus-4-6
7fd5e550a2c3,9d40ed5736eb,875af79affd0,neutral,False,False,11,22,0,0,3,3,3,4,3,4,5,3.33,claude-opus-4-6
8047b3e9b7aa,9d40ed5736eb,875af79affd0,neutral,False,False,17,22,0,0,3,3,3,4,3,4,5,3.33,claude-opus-4-6
2473f2f202dd,b1f321154f14,415b819981aa,liked,True,False,406,422,2,0,2,2,3,2,3,2,3,2.3,claude-opus-4-6
1d882bb2edfe,5c9a3c148d54,d3387acd0fd2,disliked,False,True,261,898,0,1,2,2,3,3,2,2,2,2.33,claude-opus-4-6
716e74f3cf66,47e576f37bce,940e23457182,liked,True,False,114,125,2,0,4,3,4,3,4,4,5,3.67,claude-opus-4-6
e555d7a2a65e,3d720df0503f,b3108582d5c3,neutral,False,False,29,333,0,0,3,4,3,3,3,3,5,3.17,claude-opus-4-6
2ed23a13de16,3d720df0503f,b3108582d5c3,neutral,False,False,266,333,0,0,2,2,3,2,2,2,3,2.17,claude-opus-4-6
db8beafe77bb,651c9f064161,a405b999086b,disliked,False,True,234,329,1,2,2,2,3,3,2,2,2,2.3,claude-opus-4-6
17c398a19e4b,cc9da08040db,48cefb49abe8,disliked,False,True,473,830,40,1,3,3,4,3,3,3,4,3.17,claude-opus-4-6
e6fded479fe8,fa85ba391555,6ecf01d1307c,disliked,False,True,23,26,0,1,4,3,4,3,4,4,5,3.67,claude-opus-4-6
c2c2d19003a4,ca0969d96287,6a29c7623bed,liked,True,False,151,238,43,0,4,4,4,4,4,4,5,4.0,claude-opus-4-6
7092aacb6be3,f9cc93819ffe,e2732a914662,liked,True,False,83,205,1,0,4,4,4,5,5,5,6,4.5,claude-opus-4-6
125503eef625,ea4a9f42553d,79b59ab46d0f,liked,True,False,272,427,9,1,4,4,4,3,4,4,5,3.8,claude-opus-4-6
74dc10d877e3,ea4a9f42553d,79b59ab46d0f,liked,True,False,284,427,9,1,3,2,3,2,3,2,4,2.5,claude-opus-4-6
5087a9f29908,bc1370e092b3,10c90ced4244,neutral,False,False,11,40,0,0,3,3,4,3,4,3,5,3.33,claude-opus-4-6
5310a0605db0,bc1370e092b3,10c90ced4244,neutral,False,False,25,40,0,0,4,4,4,4,4,4,5,4.0,claude-opus-4-6
ed3e2e480f32,5d249bd55e8d,084a1e31e0af,disliked,False,True,1720,1869,7,7,3,2,4,2,3,2,3,2.67,claude-opus-4-6
61ed3e0d9673,539445701585,20b52a3b79d9,neutral,False,False,47,207,0,0,3,3,3,3,3,3,5,3.0,claude-opus-4-6
201d648c9447,539445701585,20b52a3b79d9,neutral,False,False,123,207,0,0,3,2,3,2,3,3,5,2.67,claude-opus-4-6
81856c0bef8e,ceb69510c0c8,b80e108da073,neutral,False,False,5,26,0,0,3,4,2,4,3,4,6,3.33,claude-opus-4-6
63c63b319321,ceb69510c0c8,b80e108da073,neutral,False,False,23,26,0,0,3,2,3,3,3,3,5,2.83,claude-opus-4-6
bfa3342f3358,24d9d4988e20,b282e20b1149,liked,True,False,5,17,1,0,4,3,4,4,4,4,5,3.83,claude-opus-4-6
3716b9d49b5c,f49d26ee6f14,b7848603f930,disliked,False,True,22,32,0,4,2,3,3,3,2,2,4,2.5,claude-opus-4-6
3136f57b3529,54afcb0b16df,ba1521405467,neutral,False,False,7,78,0,0,4,5,3,5,4,4,6,4.2,claude-opus-4-6
627799b305fb,54afcb0b16df,ba1521405467,neutral,False,False,59,78,0,0,4,4,4,3,4,4,5,3.8,claude-opus-4-6
909829933819,164eb0372815,b7848603f930,disliked,False,True,60,64,0,1,3,2,3,3,3,3,4,2.8,claude-opus-4-6
97eeff749c6a,d4d1d0d6686a,4a4e0156f0a6,liked,True,False,5536,6177,133,6,3,3,4,4,3,4,5,3.5,claude-opus-4-6
fbca68464117,47dca7f11880,52d0156f3189,disliked,False,True,144,158,0,1,3,2,3,2,3,3,4,2.7,claude-opus-4-6
5563e7788a44,f7ded4f1ff9c,aff06c6fac3f,neutral,False,False,75,357,0,0,2,2,3,2,2,3,4,2.3,claude-opus-4-6
7c0dcacab44f,f7ded4f1ff9c,aff06c6fac3f,neutral,False,False,344,357,0,0,3,2,3,2,3,2,4,2.5,claude-opus-4-6
92f912c77e8d,092a9298fd54,6fb8669959f4,liked,True,False,916,1016,14,0,1,1,2,2,2,2,2,1.67,claude-opus-4-6
a5143c7c2ebc,751d84bc48c0,ce7a45047c6f,liked,True,False,215,289,9,0,4,4,5,3,4,4,5,4.0,claude-opus-4-6
243927a33efb,1a30f14bfea6,08e42f970cfe,neutral,False,False,15,46,0,0,3,3,3,4,4,4,6,3.5,claude-opus-4-6
bda8a7625edb,1a30f14bfea6,08e42f970cfe,neutral,False,False,35,46,0,0,3,3,4,3,4,4,6,3.5,claude-opus-4-6
7c3dd0ced98c,f82ee90f60f5,992f6fb24af4,neutral,False,False,37,93,0,0,3,2,4,3,3,3,4,3.0,claude-opus-4-6
64d436716cf3,f82ee90f60f5,992f6fb24af4,neutral,False,False,73,93,0,0,4,3,4,5,4,5,6,4.17,claude-opus-4-6
00dbac60a488,0ab9007a3016,f35c97051d96,neutral,False,False,19,70,0,0,3,3,3,3,3,3,5,3.0,claude-opus-4-6
90c883c97554,0ab9007a3016,f35c97051d96,neutral,False,False,55,70,0,0,3,2,4,3,3,3,5,3.0,claude-opus-4-6
5924c5cb8e21,1c1b8cc60da3,393321bdc028,neutral,False,False,22,78,0,0,4,4,4,4,4,4,6,4.0,claude-opus-4-6
a2ad9bb63d80,1c1b8cc60da3,393321bdc028,neutral,False,False,68,78,0,0,3,3,4,3,3,3,4,3.17,claude-opus-4-6
6cf311df2886,3e70bea7d8ae,88886574ddaa,liked,True,False,210,229,78,0,3,2,4,3,3,3,4,3.0,claude-opus-4-6
13e4c30725e0,3e70bea7d8ae,88886574ddaa,liked,True,False,218,229,78,0,3,3,4,3,4,4,5,3.5,claude-opus-4-6
bfc8f5a9e407,de05a7fe50f2,8a549ea8ccd1,liked,True,False,115,260,1,0,3,3,5,3,3,3,3,3.33,claude-opus-4-6
